tem Name,Description,Supplier,Qty,Unit Cost (GBP),Total Cost (GBP)
SLS Nylon 3D Prints (PA12),"Professional printing for Nose Cone, Body, and Fins. High heat & impact resistance.",JLC3DP,1,£120.00,£120.00
JLC3DP Shipping,International shipping from factory,JLC3DP,1,£25.00,£25.00
Jolly Logic AltimeterTwo,"Digital flight computer to record altitude, speed, and flight duration",ModelRockets.co.uk,1,£65.00,£65.00
Estes F15-5 Motors,2-pack of mid-power motors with 5-second parachute delay,ModelRockets.co.uk,1,£25.00,£25.00
24-inch Nylon Parachute,Ripstop nylon parachute (won't melt or tear like plastic),ModelRockets.co.uk,1,£15.00,£15.00
Kevlar Shock Cord (3m),Fireproof tether to connect the nose cone to the rocket body,ModelRockets.co.uk,1,£8.00,£8.00
Nomex Heat Shield,Fireproof blanket to protect the parachute from the ejection charge,ModelRockets.co.uk,1,£7.00,£7.00
29mm Motor Mount Kit,Cardboard tube to insulate the 3D printed plastic from the motor heat,ModelRockets.co.uk,1,£8.00,£8.00
1010 Rail Buttons,Mounting buttons to slide the rocket up a professional launch rail,ModelRockets.co.uk,1,£5.00,£5.00
2-Part Epoxy Resin,High-strength adhesive required for bonding rocketry components,Hardware Store,1,£10.00,£10.00
Domestic Shipping,Shipping for hardware components,ModelRockets.co.uk,1,£12.00,£12.00
GRAND TOTAL,(Approx $380 USD),,,,£300.00
